CUI,mention
C0332281,associated
C0038999,swelling
C0227582,body
C0227582,of the pancreas
C0438653,Portable
C0817096,chest
C2242979,cultures
C0038999,swelling
C0227582,body
C0227582,of the pancreas
C0034642,crackles
C0232493,epigastric pain
C0332217,persistent
C0205082,severe
C0521114,occasionally
C0728755,Dilaudid
C2317349,IV
C0728755,Dilaudid
C2317349,IV
C0227546,gallbladder neck
C0577559,mass
C0015967,fever
C0205082,high grade
C0849584,follow-up
C0039985,chest x-ray
C0242970,diet
C0242970,low fat
C0205208,solids
C0030305,pancreatitis
CUI-less,study
C0444956,high dose
C0728755,Dilaudid
C1960986,pain
C1960986,radiation to the lower abdomen
C1960997,pain
C1960997,radiation to
C1960997,upper quadrant
C0205091,left
C0278145,the pain
C0278145,knife-like
C0200949,Blood
C0200949,cultures
C0430404,urine cultures
CUI-less,All
C0032285,Pneumonia
C0267099,Pill esophagitis
C0455855,Right ventricular hypokinesis
C1828348,Dobutamine stress test
C0013516,cardiac ultrasound
C0079304,EGD
C0039985,chest x-ray
C1827584,PICC placement
C0011849,diabetes mellitus
C0020538,hypertension
C0024117,COPD
C0020443,hypercholesterolemia
C0011581,depression
C0018802,CHF
C0541828,left-sided chest pain
C0013404,shortness of breath
C0010200,cough
C0042963,vomiting
C0011991,diarrhea
C3466369,sublingual nitroglycerin
C0030193,pain
C0030193,pain
C0004057,Aspirin
C0700776,Lopressor
C0021641,Insulin
C0020456,hyperglycemia
C1623258,EKG
C0011854,Insulin-dependent diabetes mellitus
C0020538,hypertension
C0011581,depression
C0004604,back pain
C0024117,COPD
C2607914,allergic rhinitis
C0017168,GERD
C0028754,obesity
C0020473,hyperlipidemia
C0009214,Codeine
C0591130,Atrovent
C0004057,Aspirin
C0286677,Flonase
C0034417,Quinine
C0719198,Celebrex
C0701017,Compazine
C0069805,Oxybutynin
C0002600,Amitriptyline
C0162723,Zyrtec
C0162373,Prozac
C0040805,Trazodone
C3538423,Humulin
C0001927,Albuterol
C0699992,Lasix
C0360583,Triamcinolone cream
C1251997,Miconazole cream
C0720466,Flovent
C0065374,Lisinopril
C0032825,KCl
C0876139,Protonix
C0593906,Lipitor
C0025605,Methadone
C0005824,blood pressure
C0204688,temperature
C0034107,pulse
C1443397,respiratory rate
C0028754,Obese
C1384666,poor hearing
C0497156,lymphadenopathy
C0004339,auscultation
C0034642,rales
C0018808,murmurs
C0232267,rubs
C0232200,gallops
C0520960,nontender
C0577599,nondistended
C0013604,edema
C1706488,DP
C0337438,glucose
C0009555,CBC
C0023508,white count
C0018935,hematocrit
C0032181,platelets
C0039985,Chest x-ray
C0702116,consolidation
C1623258,EKG
C0085610,sinus brady
C0232326,STT wave abnormalities
C0027051,MI
C0027051,MI
C1271630,cardiac markers
C1828348,a dobutamine stress test
C0024117,COPD
C1998088,the stress portion
C0015967,fever
C0020649,hypotension
C0430462,a cardiac echo ( transthoracic echocardiogram )
C0013516,This echo
C0428772,LV ejection fraction
C0456181,RVSP
C0520541,a hypotensive episode
C0079304,her EGD
C2317227,fluid bolus
C0948268,her tenuous hemodynamic status
C1384495,This stress test
C0020649,hypotension
C0022116,ischemia
C0232174,an EF
CUI-less,this test
C0012963,dobutamine
C0574066,increased dyspnea
C0015967,a fever
C0282386,levofloxacin
C0042029,UTI
C0239574,low-grade fevers
C0039985,her chest x-ray
C0007561,ceftriaxone
C0052796,azithromycin
C0018155,gram-positive cocci
C0042313,vancomycin
C0004611,These bacteria
C1265292,MRSA
C0042313,her vancomycin
C0179740,PICC line
C0027497,nausea
C0079304,an EGD
C0520541,a hypotensive episode
C0079304,her EGD
C0079304,The EGD
C0267099,pill esophagitis
C0994475,pills
C0013404,Shortness of breath
C1142536,MRSA pneumonia
C0042313,vancomycin
C0878881,nasal cannula
C0032285,her pneumonia
C0455855,her right ventricular hypokinesis
C0020542,pulmonary hypertension
C0202823,chest CT
C0043393,yeast
C0015230,The rash
C0015230,The rash
C0723950,Tums
C0354688,Albuterol inhaler
C0593906,Lipitor
C0162373,Prozac
C0360575,Flovent inhaler
C0591130,Atrovent
C0591395,Ditropan
C0282139,Colace
C0004057,Aspirin
C0021658,Insulin NPH
C1247198,Nystatin Mouthwash
C0939400,Nexium
C0042313,Vancomycin
C0205392,some
C0027497,nausea
C0205156,prior
C1623258,EKG
CUI-less,no acute distress
C0439654,faint
C0043144,wheezes
C1720310,PT
C0013516,cardiac echo
C0430462,transthoracic echocardiogram
C0205219,diffusely
C0232172,hypokinetic
C0205314,new
C1261074,right upper lobe
C0332448,infiltrates
C0205392,some
C0010200,cough
CUI-less,apparent
C0042963,emesis
C0151970,esophageal ulcers
C0235239,fluttering
C0235239,chest
C0205392,some
C0030193,pain
C0549178,persistent
C1287678,lung volumes
C0205251,low
C0205341,another
C1828348,dobutamine stress test
C3164773,septal thinning
C2945599,mild
C0205392,some
C0205094,anterior
C0042036,urine
C1275772,legionella antigen
C0042313,vancomycin
C1533734,administration
C0442519,home
C2317227,fluid boluses
C0205392,some
C0939400,Nexium
C0178602,doses
C0686904,requirement
C0030054,oxygen
C0030054,oxygen
C0686904,requirement
C0205392,some
C1277298,erythematous rash
C0205392,some
C0360376,Miconazole Cream
C0028066,Nifedipine
C1997551,LV
C1997551,wall motion abnormality
CUI-less,ER
C0032290,ASPIRATION PNEUMONIA
C0020538,hypertension
C0239886,headache across the forehead
C0042963,vomiting
C0277797,afebrile
C0034107,heart rate
C0005824,blood pressure
C1443397,respiratory rate
C0523807,oxygen saturation
CUI-less,three liters
C2830004,somnolent
C0006318,bruits
C0004339,auscultation
C0238844,poor air entry
C0520960,non-tender
C0149651,clubbing
C0010520,cyanosis
C0013604,edema
C0027853,Neurological examination
C0278249,without any speech
C0034944,Dolls eye
C0010031,Corneals
C1287907,Gag
C0200116,sensory testing
C0030193,pain
C0596002,Reflexes
C1282911,upgoing
C0337443,a sodium
C0202194,potassium
C0201952,chloride
C0202059,bicarbonate
C0005845,BUN
C0201975,creatinine
C0337438,glucose
C0201899,AST
C0201836,ALT
C0201850,alkaline phosphatase
C0344395,bilirubin
C0201973,CK
C0040130,Thyroid function tests
C0920210,Troponin I
C0555903,Total protein
C0201838,albumin
C0877347,globulin
C0201925,calcium
C0523826,phosphate
C0373675,magnesium
C0023508,White blood cell count
C0587341,hemoglobin
C0018935,hematocrit
C0032181,platelet count
C1176468,Erythrocyte sedimentation rate
C0033707,PT
C0030605,PTT
C1623258,An EKG
C0085610,sinus bradycardia
C0085614,first degree atrioventricular block
C1287083,biphasic T-waves
C0039985,A chest x-ray
C0202691,The head CT scan
C0576481,midline shift
CUI-less,some effacement of the sulci
C0019134,heparin
C0436121,Lung examination
C0043144,wheezing
C0030193,pain
C1282911,upgoing
C0005800,A blood gas
C0202165,a pH
C0428168,pO2
C0428189,pCO2
C1623258,EKG
C0039239,sinus tachycardia
C0204688,The patient &apos;s temperature
C0029053,a high density
C0585630,the right cerebellar infarction
C0019080,hemorrhage
C0024485,An MRI
C1636167,MRA of the head
C0038454,his stroke
C0024485,The MRI
C0006114,cerebellar swelling
C0231187,decompensation
C0204700,fluid restriction
C1272452,blood pressure management
C0019134,Heparin
C2937358,intercerebral hemorrhage
C0032290,The aspiration pneumonia
C0007554,Cefotaxime
C0025872,Metronidazole
C0028785,OCCIPITAL
C0038454,CEREBROVASCULAR ACCIDENT
C0205231,EXTENSIVE
C0393956,POSTERIOR CIRCULATION INFARCTION
C0278061,change in mental status
C1276802,acute
C0205345,relatively
C0237284,unresponsive
C0010200,coughing
C0521114,occasionally
C0232249,one out of six
C0232249,murmur
C0232258,holosystolic murmur
C0205267,intermittently
C0424536,alert
C0034121,pupillary
C1457869,defect
C0439765,right gaze
CUI-less,preference
C0026649,movement
C0547040,minimal
C0450414,left side
C0205184,biphasic
C0443172,changes
C1276802,acute
C0702116,consolidation
C1261077,left lower lobe
C0455714,occipital infarct
C0549177,large
C0205090,right
C0152283,temporal horn
C1446409,positive
C0577559,mass
C1280500,effect
C0231187,decompensation
C1276802,acute
C0429673,respiratory status
C1287665,breath sounds
C0205194,coarse
C0332273,throughout
C1960093,non-rebreather mask
C1305553,100%
C0202691,CAT scan of the head
C0205341,repeat
C3536610,posterior cerebral artery infarction
C0205090,right
C0205095,posterior
C0225804,circulation
C0236073,infarct of the cerebellar hemispheres
C0238767,bilaterally
C1636167,MRA of the intracranial
C0225804,circulation
C0429856,flow
C0392756,reduced
C2945599,mildly
C0004811,basilar arteries
C0007276,internal carotid arteries
C0238767,bilaterally
C0175566,patency
C0439806,gross
C1956346,CORONARY ARTERY DISEASE
C0010055,a coronary artery bypass graft
C0543467,this operation
C0189842,a pacer implantation
C0037052,sick sinus syndrome
C0002962,anginal pain
C0232174,Ejection fraction
C0011860,Non-insulin dependent diabetes mellitus
C1956346,Coronary artery disease
C0010055,coronary artery bypass graft
C0340320,anterior myocardial infarction
C0037052,sick sinus syndrome
C0018795,Cardiac catheterization
C0729538,saphenous vein graft
C0001168,100% occluded
C0006938,Capoten
C0699988,Lanoxin
C0700940,Cardizem
C0591573,Glucophage
C0595112,Amaryl
C0031809,Physical examination
C0150404,the vital signs
C0004339,auscultation
C0205271,irregular
C0018808,murmurs
C0034107,Pulses
C0022116,ischemia
C1623258,EKG
C0577801,Rhythm
C0009346,Balloon
C0128513,His Melranon
C0003015,his ACE inhibitor
C0002598,Amiodarone
C0019573,Hirudin
C0149871,deep venous thrombosis
C3539909,allergic
C0019134,heparin
C0699129,Coumadin
C0150457,Coumadinization
C0002598,Amiodarone
C0006938,Captopril
C0012265,Digoxin
C0282139,Colace
C0699992,Lasix
C0032825,Potassium chloride
C0591573,Glucophage
C0699129,Coumadin
C0027051,myocardial infarction
C0225873,anterior septal
C0549177,large
C0013404,dyspnea
C0205329,progressive
C0162577,angioplasty
C0439064,multiple
C0522776,stents
C0010055,coronary artery bypass graft
C0035110,reoperative
C0189842,pacer placement
C0205082,severe
C0340285,triple vessel coronary artery disease
C0001168,100% occluded
C1261316,RCA
C0012634,diseased
C0205082,severely
C0226032,LAD
C0004057,aspirin
C0701228,Glucotrol
C0430458,exercise treadmill test
C0396777,coronary artery bypass graft times three
C0035110,reoperative
C0205107,proximal
C0348047,graft
C0442181,subaortic
C0348047,graft
CUI-less,wide
C0014563,Epinephrine
C0460104,drip
C1319556,heparin induced thrombocytopenia
C0302350,therapeutic
C0699129,Coumadin
C0010055,coronary artery bypass graft
C0035110,reoperative
C0701228,Glucotrol
C0524434,OM1
C0348047,graft
CUI-less,XL
CUI-less,XL
CUI-less,Enteric coated
C0001175,AIDS
C0007559,Ceftazidime
C0004521,Aztrenam
C1299471,MAI
C0015967,fever
C0085593,chills
C0200949,blood cultures
C0006836,candida species
C1299471,MAI
C0155860,pseudomonas pneumonia
C0015967,fever
C0085593,chills
C0155860,pseudomonal pneumonia
C0015967,fever
C0085593,chills
C0006836,candida species
CUI-less,three liters
C0005834,blood drawing
C0812149,IV medications
C0234233,tenderness
C0041834,erythema
C0235218,warmth
C0015388,exudate
C0010980,Dapsone
C0007559,Ceftazidime
C0701042,Cipro
C0001367,Acyclovir
C0025175,Megastrol
C0210630,G-CSF
C0204688,his temperature
C0005824,blood pressure
C0034107,pulse
C1443397,respirations
C0523807,O2 saturation
CUI-less,three liters
CUI-less,HEENT exam
C0497156,lymphadenopathy
C0018021,thyromegaly
C0436125,Cardiovascular exam
C0018808,murmurs
C0520960,nontender
C0577599,nondistended
C0149651,clubbing
C0010520,cyanosis
C0013604,edema
C0027853,Neurological exam
C0005845,BUN
C0201975,creatinine
C0337443,Sodium
C0201836,ALT
C0201899,AST
C0202113,LDH
C0023508,white count
C0018935,hematocrit
C0032181,platelet count
C0162401,The differential
C0042014,Urinalysis
C0427916,Sputum gram stain
C0027950,polys
C0004611,bacteria
C1271628,AFB stain
C0039985,Chest X-ray
C0009450,Infectious Disease
C0085795,Amphotericine
C0740299,positive blood cultures
C0006836,candida
C0085795,the Amphotericine
C0003232,his antibiotics
C0155860,pseudomonas pneumonia
C0210630,his G-CSF
C0023508,his white count
C0013216,MEDICATIONS
C0210630,G-CSF
C0001367,Acyclovir
C0014806,Erythromycin
C0010980,Dapsone
C0591635,Imodium
C0028741,Nystatin
C0029997,Serax
C0032825,Kay-Ceil
C0005834,his blood drawn
C0202194,a potassium
C0373675,magnesium
C0085795,Amphotericine
C1268858,magnesium replacement
C2945760,recurrent
C0033817,pseudomonas infections
C0439064,multiple
C0001175,AIDS
C0221423,illnesses
C2317349,IV
C0007559,Ceftazidime
C2317349,IV
C0003232,antibiotics
C0205420,Concurrent
C0200949,blood cultures
C1290922,baseline
C0523807,O2 saturation
C0230347,left arm
C0398232,graft
C0034642,rales
C0225704,bilateral basilar
C1272748,resolving
C1261077,left lower lobe
C0225740,lingular
C0332448,infiltrate
C4281590,right mid lung
C0332448,infiltrate
C1275732,passport
C0230347,left arm
C0457453,admission
C0013216,medications
C0439064,multiple
C0005841,blood transfusions
C0018935,hematocrit
C0205251,low
C0201992,lytes
C0849584,follow up
C0304475,potassium
C0304475,replacement
C1271714,polys
C0200634,bands
C0200635,lymphs
C0200637,monos
C0039985,chest X-ray
C1275732,passport
C2945843,site
C0580836,old
C3714625,NEUROPATHIC PAIN
C0406844,Post thoracotomy syndrome
C0406844,post thoracotomy syndrome
C0039991,her thoracotomy incision
C0162872,a thoracic aortic aneurysm
C3714625,neuropathic pain
C0449681,the incision site
C0483514,Vicodin
C0087119,Elavil
C0678176,Neurontin
C0459914,conservative therapy
C0020538,Hypertension
C0020676,Hypothyroidism
C0030486,Paraplegia
C0521233,thoracic aortic aneurysm repair
C0558159,Sacral decubitus ulcer
C1960973,Home oxygen
C0030054,the oxygen
C0043143,a wheelchair
C0001927,albuterol
C2919541,nebulizer
C0162712,Norvasc
C0009316,Colistin
C0001927,albuterol
C0591130,Atrovent
C0558009,"Pressure , dermal ulcer care"
C0085671,dressing change
C0678176,Neurontin
C0282139,Colace
C0009316,Colistin
C0002600,Amitriptyline
C0003968,Vitamin C
C0006681,Calcium carbonate
C0178638,Folate
C0728762,Synthroid
C0078794,Zinc sulfate
C0301532,Multivitamin
C0030193,pain
C0024476,Milk of Magnesia
C0009806,constipation
C0220892,PENICILLIN
C0005824,Blood pressure
C0034107,heart rate
C1443397,respiratory rate
C0523807,saturation
C0011394,dentures
C0497156,lymphadenopathy
C0004339,auscultation
C0577599,nondistended
C0520960,nontender
C0456653,Epidural site
C0041834,erythema
C0012621,drainage
C0234233,tenderness
C0013119,a dressing
C0558159,the sacral decubitus ulcer
C0406844,postthoracotomy syndrome
C0039082,the syndrome
C0521233,her thoracic aortic aneurysm repair
C0459914,the conservative therapy
C3878277,a spinal cord stimulator
C0184661,the procedure
C0184661,the procedure
C3878277,The spinal cord stimulator
C0578060,her pain pattern
C0179751,an epidural catheter
C0002913,The epidural
C0085590,the catheter
C0085590,the catheter
C0578060,her pain pattern
C0030193,that pain
C0179751,The epidural catheter
C0002913,The epidural
C0456214,epidural pump placement
C0456214,placement of epidural pump
C0085671,adressing change
C0278145,stabbing
C0278145,pain
C0541828,left-sided chest pain
C2945760,recurrent
C0876973,lung infections
CUI-less,no acute distress
C0238844,Decreased breath sounds
C0225732,left base
C0425543,coarse rales
C0225732,left base
C0205091,left
C0008035,chest wall pain
C0278145,stabbing
C0278145,pain
C0455270,sharp pain
C0591130,Atrovent
C2919541,nebulizers
C0001927,Albuterol
C2919541,neb
C3878277,spinal cord stimulator
CUI-less,trial
C0002913,epidural
CUI-less,trial
C0785724,Fentanyl patch 25 mcg an hour
C3878277,spinal cord stimulator
CUI-less,trial
C1562252,Left hemidiaphragmatic
C0522224,paralysis
C0003232,antibiotic
C0037633,solution
C0785724,Fentanyl patch 25 mcg an hour
C0717367,Hydrocodone
C0717367,with Tylenol
C0085620,Flaccid paralysis
C0230420,bilateral lower extremities
C3878277,spinal cord stimulator
CUI-less,trial
C0026858,musculoskeletal
C0026858,pain
C0574032,infusion
C0026549,morphine
C0191651,excision and closure flap of
C0191651,ischial decubitusin
C0205091,left
C0558159,sacral decubitus
C0185003,closure
C0182537,pump
C0002913,epidural
C0191651,excision and closure of
C0191651,ischial sacral decubitus
C0205091,left
C0560563,fluoroscope to guide
C0347944,PELVIC MASS
C0347944,Pelvic mass
C0020538,hypertension
C0474186,ERT
C0347944,a pelvic mass
C0728940,resection
C0577559,the mass
C0024485,An MRI
C0701459,Lupron
C0030193,pain
C3497606,Vicodin ES
C0724054,Ultram
C0030193,the patient &apos;s pain
C0027497,nausea
C0042963,vomiting
C0011168,an inability to tolerate p.o. intake
C0015967,fevers
C0085593,chills
C0227791,vaginal discharge
C0019080,bleeding
C0202194,Potassium
C0023508,White count
C0018935,Hematocrit
C0559692,intravenous fluid
C0032821,potassium
C0935966,Demerol
C1304888,pain control
C0008947,clindamycin
C0699187,Valium
C0013136,droperidol
C0020676,Hypothyroidism
C0003864,arthritis
C0020538,hypertension
C0020443,hypercholesterolemia
C0002871,anemia
C0004096,asthma
C0542407,A TAH-BSO
C0085704,an exploratory laparotomy
C0728940,resection
C0347944,a pelvic mass
C0483514,Vicodin
C0724054,Ultram
C0042523,Verapamil
C0728762,Synthroid
C0020261,HCTZ
C0210355,Arthrotec
C0965130,Advair
C0025231,Tofranil
C0487782,Ambien
C0040805,Trazadone
C0060282,Ferrous sulfate
C0282139,Colace
C3539909,Her allergies
C0220892,penicillin
C0236024,throat edema
C0042313,vancomycin
C0282386,levofloxacin
C0699678,Flagyl
C2242979,Cultures
C0200949,Blood cultures
C0016169,fistula
C0000833,abscess
C0200949,Blood cultures
C0009063,C. perfringens
C0149871,DVT
C0034065,PE
C0728940,resection
C0347944,the pelvic mass
C0193063,rectosigmoid resection
C0192601,SBR
C0015252,removal
C0042258,a vaginal tumor
C0198614,omentectomy
C0192579,an enterotomy
C1301707,a PCEA
C0030193,pain
C0003467,anxious
C0020934,imipramine
C0040805,trazadone
C0487782,Ambien
C0014025,enalapril
C0020223,hydralazine
C0022860,labetalol
C0025859,metoprolol
C0065374,lisinopril
C0020261,hydrochlorothiazide
C0020223,Hydralazine
C0005824,Blood pressure
C0205250,high
C0871470,an SBP
C0051696,amlodipine
C0005824,that blood pressure
C0005824,blood pressure
C0199447,nebulizer treatment
C0965130,Advair
C0965130,Advair
C0003467,anxiety
C0004936,psychiatric issues
C0039231,tachycardia
C0000737,abdominal pain
C0039985,A chest x-ray
C0040405,A CT
C0032320,free air
C0192589,a small bowel enterotomy
C0456904,Intraoperatively
C0020649,hypotension
C0035229,respiratory insufficiency
C0021925,intubated
C0419179,NPO
C0085678,an NG tube
C2184084,clear sips
C0030548,TPN
C0242295,nutritional supplementation
C0085678,the NG tube
C2184084,clears
C0179740,a PICC line
C0030548,TPN
C0489460,calorie counts
C1278795,removal of the ureteral stents
C0009450,Infectious Disease
C0200949,Blood cultures
C0009063,C. perfringens
C0282386,levofloxacin
C0699678,Flagyl
C0042313,vancomycin
C0282386,levofloxacin
C0699678,Flagyl
C0013090,doxycycline
C0016277,fluconazole
C0200949,Blood cultures
C3874363,JP drain
C2242979,cultured
C0430404,aurine culture
CUI-less,TLC
CUI-less,TIB
C0200949,blood culture
C0023508,the patient &apos;s white blood count
C0015967,fever
C0003232,antibiotics
C0023508,the white blood cell count
C0353681,sub .q. heparin
C2585945,DVT prophylaxis
C0041834,erythema
C0019134,heparin
C0728963,Lovenox
C0020676,hypothyroidism
C0557977,insulin sliding scale
C0457575,fingersticks
C0030548,TPN
C0205082,severe
C0238551,left lower quadrant pain
C0040405,CT
C0205394,Other
C0200949,blood culture
C0238767,bilateral
C0522776,stent placement
C0012826,lysis of adhesions
C0205091,left
C0194341,ureterolysis
C0728755,Dilaudid
C0078944,PCA
CUI-less,still
C0205250,elevated
C0543467,surgery
C0878881,nasal cannula
C0205265,initial
C0543467,surgery
C0205217,increased
C0013404,shortness of breath
C0175673,emergent
C0085704,exploratory laparotomy
CUI-less,another
C0175673,emergent
C0085704,exploratory laparotomy
C0549099,peroration
CUI-less,another
C1299597,empiric
C0042313,vancomycin
C0085704,exploratory laparotomy
C0200634,bands
C0205436,second
C0205394,other
C0159028,symptoms
C0728963,Lovenox
C0087111,therapy
C3874410,left lower quadrant mass
C1276428,cystic
C1276437,solid
C0449432,components
C0238551,left lower quadrant pain
C0239783,pain in the groin
C0521377,rectosigmoid
C0577559,mass
C0027651,tumor
C0230180,left lower quadrant
C0150207,PE protocol
C0040405,CT
C0011581,depression
C3853134,poorly controlled
C1290922,baseline
C0020538,hypertension
C0032320,free air under the diaphragm
C0205217,increased
C0005388,bilious fluid
C0031153,peritoneum
C0000737,abdominal pain
C0205217,increased
C0445247,similar
C0332189,episode
C2945843,site of
C0205156,previous
C0374711,repair
C0012155,diet
C0730463,advancement
C0205251,low
C3698358,stoma output
C0205090,right
C0445377,IJ line
C2945843,site
C0205090,right
C0445377,IJ line
C0238767,bilateral
C4039428,upper extremity Dopplers
C0745497,IJ clot
C0205090,right
C0442519,home
C0728762,Synthroid
C0178602,dose
C0445119,no growth
C0026269,STENOSIS . Uns
C0026269,. ASSOCIATED DI
C0040961,"iency , atrial fibrilla"
C0004238,"n , congestive hear"
C0018802,"ailure , chronic obstruc"
C0024117,"e pulmonary disease , pulmonary hyper"
C0020542,sion . PRINCIPAL PROCE
C0026268,ment and tricuspid valve
C0396899,nstruction . HISTORY OF PRESEN
C0035436,"past , and has"
C0694539,ation . She has had progres
C1261322,ted worsening
C0020542,She was referred for
C0190065,CAL HISTORY i
C0746102,o smoking . She had
C0087111,taxis . S
C0030600,2 . Her MEDICATIONS O
C0699129,"qD , Las"
C0012265,", 40 ,"
C0699992,ceril
C0577863,"h prominent V-waves , an"
C1532767,ic and diastolic
C0577835,"ct , and there wa"
C0026268,zing a 27 mm . St. Jude pr
C0182440,valve reconstructi
C0396899,ing anuloplasty . She weaned f
C0677555,cardiopulmonary
C0007202,odynamics . She initia
C0543467,e was t
C0004238,extubated on the t
C0683369,Care Uni
C0338659,"continued to improve , with mobi"
C0428978,"rillation , but this gradua"
C0004238,improved over time
C1879316,d her antico
C0699129,ation ca
